Name,Email,City,ST,Website,maps_status,maps_matched_name,maps_phone,maps_website,website_http_status,website_category,in_rebulk_directory,confidence,closed_reason,archived_on
ACE WAREHOUSE & LOGISTICS,INFO@ACEWLT.COM,PHILADELPHIA,PA,http://www.acewlt.com/,CLOSED_PERMANENTLY,Ace Warehouse & Logistics,(215) 633-7000,,200,ok,yes,high,google_maps_permanently_closed,2026-07-23
ALPHA CHEMICAL LTD,ORDERS@ALPHACHEMICAL.CA,DARTMOUTH,NS,https://www.alphachemical.ca/services,CLOSED_PERMANENTLY,Alpha Chemical Ltd,(800) 981-2532,,error:URLError,dead_domain,no,high,google_maps_permanently_closed,2026-07-23
AMERICAN PETROLOG LLC,,BROOKLYN,NY,https://www.americanpetrolog.com/about/,CLOSED_PERMANENTLY,American PetroLog,(856) 536-0055,http://www.americanpetrolog.com/,200,ok,yes,high,google_maps_permanently_closed,2026-07-23
ARROW RELOAD SYSTEMS INC,JKENT@ARROW.CA,TACOMA,WA,https://reload.arrow.ca/location/tacoma-tfr/,CLOSED_PERMANENTLY,Arrow Reload Washington Inc,(253) 327-1880,,404,dead_link,yes,medium,google_maps_permanently_closed,2026-07-23
CN METAL DISTRIBUTION CENTER,SALES@CN.CA,BROCKVILLE,ON,https://www.cn.ca/en/our-services/supply-chain-services/transload-and-distribution/,CLOSED_PERMANENTLY,CN Metals distribution Center,,,404,dead_link,no,high,google_maps_permanently_closed,2026-07-23
DELAWARE EXPRESS,rjwinther@delawareexpress.com,EDISON,NJ,https://www.delawareexpress.com/locations,CLOSED_PERMANENTLY,Delaware Express,,http://www.delawareexpress.com/,404,dead_link,no,high,google_maps_permanently_closed,2026-07-23
DELAWARE EXPRESS,rjwinther@delawareexpress.com,ELKTON,MD,https://www.delawareexpress.com/locations,CLOSED_PERMANENTLY,Delaware Express Co,(410) 398-1733,,404,dead_link,no,high,google_maps_permanently_closed,2026-07-23
DELAWARE EXPRESS,rjwinther@delawareexpress.com,WORCHESTER,MA,https://www.delawareexpress.com/locations,CLOSED_PERMANENTLY,Delaware Express,(508) 753-0071,,404,dead_link,no,high,google_maps_permanently_closed,2026-07-23
GRESHAM TRANSFER,,PORTLAND,OR,"https://www.google.com/maps/place/Gresham+Transfer+Inc/@45.548115,-122.7108971,15z/data=!4m5!3m4!1s0x0:0x737d10ee11f507a2!8m2!3d45.548115!4d-122.7108971",CLOSED_PERMANENTLY,Gresham Transfer Inc,(503) 295-3776,,200,ok,yes,high,google_maps_permanently_closed,2026-07-23
L.G. EVERIST INC,MAHOFFMAN@LGEVERIST.COM,KANSAS CITY,KS,https://www.lgeverist.com/companies.php,CLOSED_PERMANENTLY,"L. G. Everist, Inc. - Kansas City",(913) 422-0004,http://www.lgeverist.com/,404,dead_link,no,high,google_maps_permanently_closed,2026-07-23
NORFOLK SOUTHERN TBT (RSI LOGISTICS),INFO@RSILOGISTICS.COM,CHESAPEAKE,VA,https://www.rsilogistics.com/rail-solutions/rail-terminal-services/chesapeake-va/,CLOSED_PERMANENTLY,Norfolk Southern - South Branch Elizabeth River Bridge,,,429,blocked_probe,yes,medium,google_maps_permanently_closed,2026-07-23
OMNITRAX LOGISTICS SERVICES,SEUBANK@OMNITRAX.COM,COTULLA,TX,http://omnitrax.com/wp-content/uploads/2015/01/ATNOLS.pdf,CLOSED_PERMANENTLY,Omnitrax Logistics,(830) 879-5235,,404,dead_link,yes,high,google_maps_permanently_closed,2026-07-23
RAPID RELOAD,MTISCARENO@RAPID-RELOAD.COM,GOLDEN,CO,https://rapid-reload.business.site/,CLOSED_PERMANENTLY,Rapid Reload,(720) 773-4487,,404,dead_link,no,high,google_maps_permanently_closed,2026-07-23
SUPERIOR CARRIERS,FPRENTISS@SUPERIOR-CARRIERS.COM,MARION,VA,https://carrytransit.com/services#transloading,CLOSED_PERMANENTLY,Superior Carriers Inc,(276) 783-7261,,403,blocked_probe,no,high,google_maps_permanently_closed,2026-07-23
TITAN LANSING TRANSLOADING,WPATTERSON@TITANLANSING.COM,MCCAMEY,TX,https://www.titanlansing.com/locations,CLOSED_PERMANENTLY,"Titan Lansing, LLC",,http://www.titanlansing.com/,200,ok,yes,high,google_maps_permanently_closed,2026-07-23
