City,State,Latitude,Longitude
ABERDEEN,WA,46.975205,-123.811373
ADAMSVILLE,AL,33.602315,-86.971527
ADRIAN,MI,41.89878,-84.044829
ADRIAN,MO,38.39633,-94.342954
AGUILA,AZ,33.9374,-113.167329
AKRON,OH,41.080456,-81.521429
ALAMOSA,CO,37.474528,-105.876956
ALBERT LEA,MN,43.654293,-93.364148
ALLENPORT,PA,40.367646,-77.874092
ALPENA,MI,45.074475,-83.443571
AMARILLO,TX,35.198064,-101.833107
ANCHORAGE,AK,61.17425,-149.284329
ANDERSON,IN,40.089766,-85.689449
ANDERSON,SC,34.521487,-82.643517
ANTHONY,NM,32.013148,-106.598396
ARABI,LA,29.953037,-89.996264
ARCADIA,FL,27.221209,-81.858429
ARCHBOLD,OH,41.516531,-84.304482
ARDMORE,OK,34.196507,-97.131848
ARDOCH,ND,48.205446,-97.338033
ARTESIA,NM,32.852173,-104.42457
ASHEVILLE,NC,35.570972,-82.552725
ASHLAND CITY,TN,36.25617,-87.032741
ASHLEY,IN,41.521494,-85.061398
ASHTABULA,OH,41.879462,-80.798482
ATHENS,LA,32.657978,-93.027702
ATTALLA,AL,33.986189,-86.121037
ATWATER,CA,37.354049,-120.597177
AUBURN,MA,42.198867,-71.845722
AUBURN,NY,42.9338,-76.567181
AURORA,CO,39.709537,-104.720509
AVONDALE,LA,29.901029,-90.19702
AVONMORE,PA,40.52715,-79.469786
AYER,MA,42.562221,-71.584844
BALDWIN,IL,38.183829,-89.845152
BALLSTON SPA,NY,43.00564,-73.854458
BANGOR,ME,44.829625,-68.788767
BARNESVILLE,GA,33.048653,-84.149284
BARTOW,FL,27.886803,-81.821758
BATAVIA,NY,42.998558,-78.180806
BATESVILLE,AR,35.768572,-91.622652
BAY CITY,MI,43.590062,-83.888421
BAY MINETTE,AL,30.894436,-87.791306
BAY ST. LOUIS,MS,30.323448,-89.35879
BAYONNE,NJ,40.662495,-74.110201
BAYTOWN,TX,29.76478,-94.967457
BEAR CREEK,NC,35.591256,-79.479963
BEAUMONT,TX,30.084912,-94.14533
BEAVER DAM,KY,37.403758,-86.873606
BECKER,MN,45.386507,-93.887261
BELFAIR,WA,47.446821,-122.852831
BELLAIRE,OH,40.016511,-80.747334
BELLE CHASSE,LA,29.858697,-90.00329
BELLE FOURCHE,SD,44.663798,-103.859143
BELLE VERNON,PA,40.123385,-79.862037
BELLVILLE,TX,29.946639,-96.258839
BELTON,MO,38.81873,-94.529639
BENICIA,CA,38.072733,-122.155169
BENNETT,CO,39.741727,-104.428719
BENNETTSVILLE,SC,34.628218,-79.685958
BENSON,NC,35.387089,-78.540866
BENWOOD,WV,40.004606,-80.730567
BERLIN,VT,44.204483,-72.607591
BEULAH,ND,47.266826,-101.770684
BLACKSBURG,SC,35.122089,-81.518119
BLACKWELL,OK,36.801341,-97.300871
BLASDELL,NY,42.796519,-78.8324
BLAWNOX,PA,40.493302,-79.859344
BLOOMINGDALE,GA,32.124998,-81.308387
BLOOMSBURG,PA,41.002717,-76.45658
BLUFFTON,IN,40.743479,-85.172111
BLYTHEVILLE,AR,35.934066,-89.905133
BOARDMAN,OR,45.836507,-119.692793
BOISE,ID,43.599335,-116.229817
BOONE,IA,42.049257,-93.872526
BOSTIC,NC,35.362456,-81.835988
BOWLING GREEN,KY,36.976832,-86.433661
BOX ELDER,SD,44.110941,-103.081066
BOYERTOWN,PA,40.33233,-75.637478
BRANFORD,CT,41.279949,-72.78595
BREAUX BRIDGE,LA,30.283099,-91.905919
BRECKENRIDGE,MN,46.265925,-96.584616
BRENTWOOD,NY,40.783918,-73.252235
BRIDGEPORT,AL,34.949312,-85.723765
BRIDGEPORT,NJ,39.800908,-75.346946
BRIDGEPORT,WV,39.303356,-80.242901
BRIDGETON,NJ,39.429192,-75.228595
BRIDGEWATER,NJ,40.592358,-74.60401
BRIDGMAN,MI,41.935169,-86.56711
BROCKPORT,NY,43.213297,-77.940824
BROCKTON,MA,42.082543,-71.024638
BROOK PARK,OH,41.404309,-81.820342
BROWNWOOD,TX,31.712856,-98.977053
BRUNSWICK,GA,31.136149,-81.466936
BRUNSWICK,MO,39.427184,-93.127184
BURLINGTON TOWNSHIP,NJ,40.060631,-74.835891
BURNET,TX,30.7506,-98.238227
BURTON,MI,43.000745,-83.618151
CALERA,AL,33.122319,-86.745644
CALIPATRIA,CA,33.168651,-115.485641
CALVERT CITY,KY,37.046422,-88.395537
CAMBRIDGE,OH,40.020933,-81.585468
CAMDEN,AR,33.567672,-92.849064
CAMDEN,NJ,39.936787,-75.106644
CAMDEN,OH,39.636679,-84.644663
CAMP HILL,PA,40.242192,-76.9274
CAMPBELL,MN,46.097528,-96.405457
CAMPTI,LA,31.897965,-93.116367
CANAAN,CT,42.04011,-73.332883
CANTON,GA,34.247201,-84.490723
CANTON,MI,42.307541,-83.485775
CANTON,SD,43.30313,-96.585577
CARMI,IL,38.08615,-88.172062
CARTERVILLE,IL,37.762798,-89.084481
CARTHAGE,MO,37.150605,-94.327868
CASA GRANDE,AZ,32.906895,-111.763503
