City,City.1,State/Province,Country,Latitude,Longitude,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
PARKESBURG,Parkesburg,PA,,39.958435,-75.918264,,,,,,,
WESTFIELD,Westfield,MA,,42.125092,-72.749538,,,,,,,
ACKERMAN,Ackerman,GA,,33.3118,-83.9663,,,,,,,
ANAHEIM,Anaheim,CA,,33.836593,-117.914301,,,,,,,
AVENEL,Avenel,NJ,,40.583156,-74.284588,,,,,,,
BATON ROUGE,Baton Rouge,LA,,30.451468,-91.187147,,,,,,,
BUENA PARK,Buena Park,CA,,33.867514,-117.998118,,,,,,,
CARMENITA,Carmenita,CA,,33.87918,-118.04535,,,,,,,
CHARLESTOWN,Charlestown,IN,,38.453676,-85.670241,,,,,,,
CHARLOTTE,Charlotte,NC,,35.227087,-80.843127,,,,,,,
CHESAPEAKE,Chesapeake,VA,,36.768209,-76.287493,,,,,,,
EAST MORRIS,East Morris,IL,,41.35753,-88.42173,,,,,,,
ELIZABETH,Elizabeth,NJ,,40.663991,-74.2107,,,,,,,
FORT WORTH,Fort Worth,TX,,32.755488,-97.330766,,,,,,,
FULCO,Fulco,GA,,33.749099,-84.390185,,,,,,,
JACKSON,Jackson,TN,,35.614516,-88.813947,,,,,,,
MIDDLETON,Middleton,SC,,32.90046,-80.13554,,,,,,,
PARAMOUNT,Paramount,CA,,33.88946,-118.159791,,,,,,,
PARKERSBURG,Parkersburg,WV,,39.266741,-81.561514,,,,,,,
PHILADELPHIA,Philadelphia,PA,,39.952584,-75.165222,,,,,,,
PORT BIENVILLE,Port Bienville,MS,,30.2513,-89.4545,,,,,,,
PORTSMOUTH,Portsmouth,VA,,36.835425,-76.298274,,,,,,,
SAN BERNARDINO,San Bernardino,CA,,34.108345,-117.289765,,,,,,,
SANTA FE SPRINGS,Santa Fe Springs,CA,,33.947236,-118.085345,,,,,,,
ST CLAIR,St. Clair,MI,,42.82031,-82.48686,,,,,,,
STOCKTON,Stockton,CA,,37.957702,-121.29078,,,,,,,
UNION CITY,Union City,GA,,33.587057,-84.54243,,,,,,,
VALLA,Valla,CA,,34.052235,-118.243683,,,,,,,
VINA VISTA,Vina Vista,CA,,38.104086,-122.25664,,,,,,,
WARE,Ware,MA,,42.25954,-72.24009,,,,,,,
WORCHESTER,Worcester,MA,,42.262593,-71.802293,,,,,,,
CANDOR,Candor,NC,,35.29571,-79.74198,,,,,,,
BURLINGTON,Burlington,NJ,,40.07116,-74.86432,,,,,,,
CHESTER,Chester,PA,,39.849557,-75.355746,,,,,,,
CORNWELLS HEIGHTS,Cornwells Heights,PA,,40.07289,-74.94933,,,,,,,
MIAMI,Miami,FL,,25.76168,-80.19179,,,,,,,
PHILADELPHIA,Philadelphia,PA,,39.952584,-75.165222,,,,,,,
SIDNEY,Sidney,NE,,41.14499,-102.97771,,,,,,,
PEORIA,Peoria,IL,,40.693648,-89.588986,,,,,,,
CAMANCHE,Camanche,IA,,41.78864,-90.25402,,,,,,,
CLINTON,Clinton,IA,,41.844473,-90.188737,,,,,,,
EVANSVILLE,Evansville,IN,,37.971559,-87.57109,,,,,,,
MARSEILLES,Marseilles,IL,,41.33003,-88.70702,,,,,,,
MCCLELLAN PARK,McClellan Park,CA,,38.66712,-121.40162,,,,,,,
ROGERS,Rogers,CA,,34.009351,-118.497468,,,,,,,
KANSAS CITY,Kansas City,MO,,39.099727,-94.578567,,,,,,,
ST LOUIS,St. Louis,MO,,38.627003,-90.199404,,,,,,,
HEREFORD,Hereford,TX,,34.815053,-102.397146,,,,,,,
HOLCOMB,Holcomb,KS,,37.98724,-100.98987,,,,,,,
NEBRASKA CITY,Nebraska City,NE,,40.67667,-95.85917,,,,,,,
