Name,Location Note,Email,Phone,City,ST,Acids,Asphalt,Chemicals (Dry),Chemicals (Liq),Foods (Dry),Foods (Liq),Frac Sand,Lumber,Minerals,Petroleum Products,Plastics (Dry),Steel,Air Compressor,Auger,Blending Meters,Blower,Bulk Conveyor,Gravity (Trestle),Hot Water Heating,Liquid Pumps,Liquid Storage Tanks,Portable Vacuum,Sampling Services,Scale,Steam Heating,Tank Trailer Cleaning,Railcar Storage,Website,Website Flag,Tier,Source,Maps Status,Confidence
& Distribution Systems,,,,NAPERVILLE,IL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,bnsf-premier-flipbook,,
& Logistics Co.,,,,SHATTUCK,OK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,bnsf-premier-flipbook,,
225 Rail Terminal,,,,PASADENA,TX,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://225rail.com/,,listed,rebulk-directory (PTRA BNSF UP CPKC),,
4C Transloaders,on Northwest Oklahoma Railroad,,,WOODWARD,OK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.noklrailroad.com/transloading-services/,,listed,rebulk-directory (BNSF Northwest Ok),,
a DANA Company,,,,SAINT LOUIS,MO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,bnsf-premier-flipbook,,
A Duie Pyle Inc,,cs@aduiepyle.com,(413) 564-8170,WESTFIELD,MA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://aduiepyle.com/,,verified,swl-internal,OPERATIONAL,high
A Duie Pyle Inc,,cs@aduiepyle.com,(610) 857-9222,PARKESBURG,PA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://aduiepyle.com/,,verified,swl-internal,OPERATIONAL,high
A&G Transport Inc. / A&G Warehouse LLC,CBP Type 3 Bonded Warehouse,,,OAKLAND,CA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.agtransportinc.com/,,listed,rebulk-directory,,
A&R Bulk Pak Incorporated,,,,ELIZABETH,NJ,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.arbulkpak.com,,listed,rebulk-directory (NS),,
A&R Transport Inc,,mhogan@artransport.com,,ANAHEIM,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,low
A&R Transport Inc,,mhogan@artransport.com,(909) 329-6885,BUENA PARK,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,,CARMENITA,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,,PARAMOUNT,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,review,swl-internal,CLOSED_TEMPORARILY,high
A&R Transport Inc,,mhogan@artransport.com,,SAN BERNARDINO,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,none
A&R Transport Inc,,mhogan@artransport.com,,SANTA FE SPRINGS,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://www.anrmoving.com/,,verified,swl-internal,OPERATIONAL,medium
A&R Transport Inc,,mhogan@artransport.com,,STOCKTON,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2834404,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,,VALLA,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,http://www.ardoingitright.com/,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,,VINA VISTA,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,none
A&R Transport Inc,,mhogan@artransport.com,,ACKERMAN,GA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,low
A&R Transport Inc,,mhogan@artransport.com,,FULCO,GA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,none
A&R Transport Inc,,mhogan@artransport.com,(404) 761-2111,UNION CITY,GA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,(800) 542-8058,EAST MORRIS,IL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,http://www.artransport.com/,,verified,swl-internal,OPERATIONAL,medium
A&R Transport Inc,,mhogan@artransport.com,(812) 256-5413,CHARLESTOWN,IN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,,BATON ROUGE,LA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,low
A&R Transport Inc,,mhogan@artransport.com,,WARE,MA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,low
A&R Transport Inc,,mhogan@artransport.com,,WORCHESTER,MA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,none
A&R Transport Inc,,mhogan@artransport.com,,ST CLAIR,MI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,medium
A&R Transport Inc,,mhogan@artransport.com,(502) 269-2065,PORT BIENVILLE,MS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,(704) 399-8670,CHARLOTTE,NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,medium
A&R Transport Inc,,mhogan@artransport.com,,AVENEL,NJ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,none
A&R Transport Inc,,mhogan@artransport.com,,ELIZABETH,NJ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,low
A&R Transport Inc,,mhogan@artransport.com,(215) 339-5021,PHILADELPHIA,PA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,http://www.ardoingitright.com/,,verified,swl-internal,OPERATIONAL,medium
A&R Transport Inc,,mhogan@artransport.com,,MIDDLETON,SC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,low
A&R Transport Inc,,mhogan@artransport.com,,JACKSON,TN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,NOT_FOUND,low
A&R Transport Inc,,mhogan@artransport.com,(817) 378-9995,FORT WORTH,TX,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,http://www.artransport.com/,,verified,swl-internal,OPERATIONAL,high
A&R Transport Inc,,mhogan@artransport.com,,CHESAPEAKE,VA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,medium
A&R Transport Inc,,mhogan@artransport.com,(757) 393-7860,PORTSMOUTH,VA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,medium
A&R Transport Inc,,mhogan@artransport.com,(304) 420-9099,PARKERSBURG,WV,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://ardoingitright.com/,,verified,swl-internal,OPERATIONAL,medium
